No.,Gen,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,HP,Att,Def,S.Att,S.Def,Spd,total,moveset
#279,,Pelipper,water,flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Hurricane', 'FLYING', 'special', '110', '70'], ['1', 'Hydro Pump', 'WATER', 'special', '110', '80'], ['1', 'Protect', 'NORMAL', 'status', '-', '-'], ['1', 'Soak', 'WATER', 'status', '-', '100'], ['1', 'Tailwind', 'FLYING', 'status', '-', '-'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['1', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['5', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['8', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['12', 'Mist', 'ICE', 'status', '-', '-'], ['15', 'Water Pulse', 'WATER', 'special', '60', '100'], ['19', 'Payback', 'DARK', 'physical', '50', '100'], ['22', 'Brine', 'WATER', 'special', '65', '100'], ['28', 'Fling', 'DARK', 'physical', '-', '100'], ['33', 'Spit Up', 'NORMAL', 'special', '-', '100'], ['33', 'Stockpile', 'NORMAL', 'status', '-', '-'], ['33', 'Swallow', 'NORMAL', 'status', '-', '-'], ['39', 'Roost', 'FLYING', 'status', '-', '-'], ['44', 'Tailwind', 'FLYING', 'status', '-', '-'], ['50', 'Hydro Pump', 'WATER', 'special', '110', '80'], ['55', 'Hurricane', 'FLYING', 'special', '110', '70']]"
#280,,Ralts,psychic,fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['4', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['6', 'Double Team', 'NORMAL', 'status', '-', '-'], ['9', 'Teleport', 'PSYCHIC', 'status', '-', '-'], ['11', 'Disarming Voice', 'FAIRY', 'special', '40', '?'], ['14', 'Lucky Chant', 'NORMAL', 'status', '-', '-'], ['17', 'Magical Leaf', 'GRASS', 'special', '60', '?'], ['19', 'Heal Pulse', 'PSYCHIC', 'status', '-', '-'], ['22', 'Draining Kiss', 'FAIRY', 'special', '50', '100'], ['24', 'Calm Mind', 'PSYCHIC', 'status', '-', '-'], ['27', 'Psychic', 'PSYCHIC', 'special', '90', '100'], ['29', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['32', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['34', 'Charm', 'FAIRY', 'status', '-', '100'], ['37', 'Hypnosis', 'PSYCHIC', 'status', '-', '60'], ['39', 'Dream Eater', 'PSYCHIC', 'special', '100', '100'], ['42', 'Stored Power', 'PSYCHIC', 'special', '20', '100']]"
#281,,Kirlia,psychic,fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Double Team', 'NORMAL', 'status', '-', '-'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Teleport', 'PSYCHIC', 'status', '-', '-'], ['4', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['6', 'Double Team', 'NORMAL', 'status', '-', '-'], ['9', 'Teleport', 'PSYCHIC', 'status', '-', '-'], ['11', 'Disarming Voice', 'FAIRY', 'special', '40', '?'], ['14', 'Lucky Chant', 'NORMAL', 'status', '-', '-'], ['17', 'Magical Leaf', 'GRASS', 'special', '60', '?'], ['19', 'Heal Pulse', 'PSYCHIC', 'status', '-', '-'], ['23', 'Draining Kiss', 'FAIRY', 'special', '50', '100'], ['26', 'Calm Mind', 'PSYCHIC', 'status', '-', '-'], ['30', 'Psychic', 'PSYCHIC', 'special', '90', '100'], ['33', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['37', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['40', 'Charm', 'FAIRY', 'status', '-', '100'], ['44', 'Hypnosis', 'PSYCHIC', 'status', '-', '60'], ['47', 'Dream Eater', 'PSYCHIC', 'special', '100', '100'], ['51', 'Stored Power', 'PSYCHIC', 'special', '20', '100']]"
#282,,Gardevoir,psychic,fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Double Team', 'NORMAL', 'status', '-', '-'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Healing Wish', 'PSYCHIC', 'status', '-', '-'], ['1', 'Misty Terrain', 'FAIRY', 'status', '-', '-'], ['1', 'Moonblast', 'FAIRY', 'special', '95', '100'], ['1', 'Stored Power', 'PSYCHIC', 'special', '20', '100'], ['1', 'Teleport', 'PSYCHIC', 'status', '-', '-'], ['4', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['6', 'Double Team', 'NORMAL', 'status', '-', '-'], ['9', 'Teleport', 'PSYCHIC', 'status', '-', '-'], ['11', 'Disarming Voice', 'FAIRY', 'special', '40', '?'], ['14', 'Wish', 'NORMAL', 'status', '-', '-'], ['17', 'Magical Leaf', 'GRASS', 'special', '60', '?'], ['19', 'Heal Pulse', 'PSYCHIC', 'status', '-', '-'], ['23', 'Draining Kiss', 'FAIRY', 'special', '50', '100'], ['26', 'Calm Mind', 'PSYCHIC', 'status', '-', '-'], ['31', 'Psychic', 'PSYCHIC', 'special', '90', '100'], ['35', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['40', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['44', 'Captivate', 'NORMAL', 'status', '-', '100'], ['49', 'Hypnosis', 'PSYCHIC', 'status', '-', '60'], ['53', 'Dream Eater', 'PSYCHIC', 'special', '100', '100'], ['58', 'Stored Power', 'PSYCHIC', 'special', '20', '100'], ['62', 'Moonblast', 'FAIRY', 'special', '95', '100']]"
#283,,Surskit,bug,water,Swift Swim,,Rain Dish,40,30,32,50,52,65,269,"[['1', 'Bubble', 'WATER', 'special', '40', '100'], ['6', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['9', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['14', 'Water Sport', 'WATER', 'status', '-', '-'], ['17', 'Bubble Beam', 'WATER', 'special', '65', '100'], ['22', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['25', 'Haze', 'ICE', 'status', '-', '-'], ['25', 'Mist', 'ICE', 'status', '-', '-'], ['30', 'Aqua Jet', 'WATER', 'physical', '40', '100'], ['35', 'Baton Pass', 'NORMAL', 'status', '-', '-'], ['38', 'Sticky Web', 'BUG', 'status', '-', '-']]"
#284,,Masquerain,bug,flying,Intimidate,,Unnerve,70,60,62,100,82,80,454,"[['1', 'Bubble', 'WATER', 'special', '40', '100'], ['1', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['1', 'Ominous Wind', 'GHOST', 'special', '60', '100'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Quiver Dance', 'BUG', 'status', '-', '-'], ['1', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['1', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['6', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['9', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['14', 'Water Sport', 'WATER', 'status', '-', '-'], ['17', 'Gust', 'FLYING', 'special', '40', '100'], ['22', 'Air Cutter', 'FLYING', 'special', '60', '95'], ['22', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['26', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['32', 'Silver Wind', 'BUG', 'special', '60', '100'], ['38', 'Air Slash', 'FLYING', 'special', '75', '95'], ['42', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['48', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['52', 'Quiver Dance', 'BUG', 'status', '-', '-']]"
#285,,Shroomish,grass,,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['8', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['12', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['15', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['19', 'Poison Powder', 'POISON', 'status', '-', '75'], ['22', 'Worry Seed', 'GRASS', 'status', '-', '100'], ['26', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['29', 'Growth', 'NORMAL', 'status', '-', '-'], ['33', 'Toxic', 'POISON', 'status', '-', '90'], ['36', 'Seed Bomb', 'GRASS', 'physical', '80', '100'], ['40', 'Spore', 'GRASS', 'status', '-', '100']]"
#286,,Breloom,grass,fighting,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['1', 'Mach Punch', 'FIGHTING', 'physical', '40', '100'], ['1', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['8', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['12', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['15', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['19', 'Feint', 'NORMAL', 'physical', '30', '100'], ['22', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['28', 'Force Palm', 'FIGHTING', 'physical', '60', '100'], ['33', 'Mind Reader', 'NORMAL', 'status', '-', '-'], ['39', 'Sky Uppercut', 'FIGHTING', 'physical', '85', '90'], ['44', 'Seed Bomb', 'GRASS', 'physical', '80', '100'], ['50', 'Dynamic Punch', 'FIGHTING', 'physical', '100', '50']]"
#287,,Slakoth,normal,,Truant,,,60,60,60,35,35,30,280,"[['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Yawn', 'NORMAL', 'status', '-', '-'], ['6', 'Encore', 'NORMAL', 'status', '-', '100'], ['9', 'Slack Off', 'NORMAL', 'status', '-', '-'], ['14', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['17', 'Amnesia', 'PSYCHIC', 'status', '-', '-'], ['22', 'Covet', 'NORMAL', 'physical', '60', '100'], ['25', 'Chip Away', 'NORMAL', 'physical', '70', '100'], ['30', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['33', 'Flail', 'NORMAL', 'physical', '-', '100'], ['38', 'Play Rough', 'FAIRY', 'physical', '90', '90']]"
#288,,Vigoroth,normal,,Vital Spirit,,,80,80,80,55,55,90,440,"[['1', 'Encore', 'NORMAL', 'status', '-', '100'], ['1', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['1', 'Reversal', 'FIGHTING', 'physical', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Uproar', 'NORMAL', 'special', '90', '100'], ['6', 'Encore', 'NORMAL', 'status', '-', '100'], ['9', 'Uproar', 'NORMAL', 'special', '90', '100'], ['14', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['17', 'Endure', 'NORMAL', 'status', '-', '-'], ['23', 'Slash', 'NORMAL', 'physical', '70', '100'], ['27', 'Chip Away', 'NORMAL', 'physical', '70', '100'], ['33', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['37', 'Focus Punch', 'FIGHTING', 'physical', '150', '100'], ['43', 'Reversal', 'FIGHTING', 'physical', '-', '100']]"
#289,,Slaking,normal,,Truant,,,150,160,100,95,65,100,670,"[['1', 'Encore', 'NORMAL', 'status', '-', '100'], ['1', 'Fling', 'DARK', 'physical', '-', '100'], ['1', 'Hammer Arm', 'FIGHTING', 'physical', '100', '90'], ['1', 'Punishment', 'DARK', 'physical', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Slack Off', 'NORMAL', 'status', '-', '-'], ['1', 'Swagger', 'NORMAL', 'status', '-', '85'], ['1', 'Yawn', 'NORMAL', 'status', '-', '-'], ['6', 'Encore', 'NORMAL', 'status', '-', '100'], ['9', 'Slack Off', 'NORMAL', 'status', '-', '-'], ['14', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['17', 'Amnesia', 'PSYCHIC', 'status', '-', '-'], ['23', 'Covet', 'NORMAL', 'physical', '60', '100'], ['27', 'Chip Away', 'NORMAL', 'physical', '70', '100'], ['33', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['39', 'Flail', 'NORMAL', 'physical', '-', '100'], ['47', 'Fling', 'DARK', 'physical', '-', '100'], ['53', 'Punishment', 'DARK', 'physical', '-', '100'], ['61', 'Hammer Arm', 'FIGHTING', 'physical', '100', '90']]"
#290,,Nincada,bug,ground,Compoundeyes,,Run Away,31,45,90,30,30,40,266,"[['1', 'Harden', 'NORMAL', 'status', '-', '-'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['5', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['13', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['17', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['21', 'Metal Claw', 'STEEL', 'physical', '50', '95'], ['25', 'Mind Reader', 'NORMAL', 'status', '-', '-'], ['29', 'Bide', 'NORMAL', 'physical', '-', '-'], ['33', 'False Swipe', 'NORMAL', 'physical', '40', '100'], ['37', 'Dig', 'GROUND', 'physical', '80', '100']]"
#291,,Ninjask,bug,flying,Speed Boost,,Infiltrator,61,90,45,50,50,160,456,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Bug Bite', 'BUG', 'physical', '60', '100'], ['1', 'Double Team', 'NORMAL', 'status', '-', '-'], ['1', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['1', 'Harden', 'NORMAL', 'status', '-', '-'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Screech', 'NORMAL', 'status', '-', '85'], ['5', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['13', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['17', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['23', 'Slash', 'NORMAL', 'physical', '70', '100'], ['29', 'Mind Reader', 'NORMAL', 'status', '-', '-'], ['35', 'Baton Pass', 'NORMAL', 'status', '-', '-'], ['41', 'Swords Dance', 'NORMAL', 'status', '-', '-'], ['47', 'X-Scissor', 'BUG', 'physical', '80', '100']]"
#292,,Shedinja,bug,ghost,Wonder Guard,,,1,90,45,30,30,40,236,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Harden', 'NORMAL', 'status', '-', '-'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['5', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['13', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['17', 'Spite', 'GHOST', 'status', '-', '100'], ['21', 'Shadow Sneak', 'GHOST', 'physical', '40', '100'], ['25', 'Mind Reader', 'NORMAL', 'status', '-', '-'], ['29', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['33', 'Shadow Ball', 'GHOST', 'special', '80', '100'], ['37', 'Grudge', 'GHOST', 'status', '-', '-'], ['41', 'Heal Block', 'PSYCHIC', 'status', '-', '100'], ['45', 'Phantom Force', 'GHOST', 'physical', '90', '100']]"
#293,,Whismur,normal,,Soundproof,,Rattled,64,51,23,51,23,28,240,"[['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['4', 'Echoed Voice', 'NORMAL', 'special', '40', '100'], ['8', 'Astonish', 'GHOST', 'physical', '30', '100'], ['11', 'Howl', 'NORMAL', 'status', '-', '-'], ['15', 'Screech', 'NORMAL', 'status', '-', '85'], ['18', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['22', 'Stomp', 'NORMAL', 'physical', '65', '100'], ['25', 'Uproar', 'NORMAL', 'special', '90', '100'], ['29', 'Roar', 'NORMAL', 'status', '-', '-'], ['32', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['36', 'Sleep Talk', 'NORMAL', 'status', '-', '-'], ['39', 'Hyper Voice', 'NORMAL', 'special', '90', '100'], ['43', 'Synchronoise', 'PSYCHIC', 'special', '120', '100']]"
#294,,Loudred,normal,,Soundproof,,Scrappy,84,71,43,71,43,48,360,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Echoed Voice', 'NORMAL', 'special', '40', '100'], ['1', 'Howl', 'NORMAL', 'status', '-', '-'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['4', 'Echoed Voice', 'NORMAL', 'special', '40', '100'], ['9', 'Astonish', 'GHOST', 'physical', '30', '100'], ['11', 'Howl', 'NORMAL', 'status', '-', '-'], ['15', 'Screech', 'NORMAL', 'status', '-', '85'], ['18', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['23', 'Stomp', 'NORMAL', 'physical', '65', '100'], ['27', 'Uproar', 'NORMAL', 'special', '90', '100'], ['32', 'Roar', 'NORMAL', 'status', '-', '-'], ['36', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['41', 'Sleep Talk', 'NORMAL', 'status', '-', '-'], ['45', 'Hyper Voice', 'NORMAL', 'special', '90', '100'], ['50', 'Synchronoise', 'PSYCHIC', 'special', '120', '100']]"
#295,,Exploud,normal,,Soundproof,,Scrappy,104,91,63,91,73,68,490,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Boomburst', 'NORMAL', 'special', '140', '100'], ['1', 'Crunch', 'DARK', 'physical', '80', '100'], ['1', 'Echoed Voice', 'NORMAL', 'special', '40', '100'], ['1', 'Fire Fang', 'FIRE', 'physical', '65', '95'], ['1', 'Howl', 'NORMAL', 'status', '-', '-'], ['1', 'Ice Fang', 'ICE', 'physical', '65', '95'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['1', 'Thunder Fang', 'ELECTRIC', 'physical', '65', '95'], ['4', 'Echoed Voice', 'NORMAL', 'special', '40', '100'], ['9', 'Astonish', 'GHOST', 'physical', '30', '100'], ['11', 'Howl', 'NORMAL', 'status', '-', '-'], ['15', 'Screech', 'NORMAL', 'status', '-', '85'], ['18', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['23', 'Stomp', 'NORMAL', 'physical', '65', '100'], ['27', 'Uproar', 'NORMAL', 'special', '90', '100'], ['32', 'Roar', 'NORMAL', 'status', '-', '-'], ['36', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['42', 'Sleep Talk', 'NORMAL', 'status', '-', '-'], ['47', 'Hyper Voice', 'NORMAL', 'special', '90', '100'], ['53', 'Synchronoise', 'PSYCHIC', 'special', '120', '100'], ['58', 'Boomburst', 'NORMAL', 'special', '140', '100'], ['64', 'Hyper Beam', 'NORMAL', 'special', '150', '90']]"
#296,,Makuhita,fighting,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,"[['1', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['7', 'Arm Thrust', 'FIGHTING', 'physical', '15', '100'], ['10', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['13', 'Force Palm', 'FIGHTING', 'physical', '60', '100'], ['16', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['19', 'Knock Off', 'DARK', 'physical', '65', '100'], ['22', 'Vital Throw', 'FIGHTING', 'physical', '70', '?'], ['25', 'Belly Drum', 'NORMAL', 'status', '-', '-'], ['28', 'Smelling Salts', 'NORMAL', 'physical', '70', '100'], ['31', 'Seismic Toss', 'FIGHTING', 'physical', '-', '100'], ['34', 'Wake-Up Slap', 'FIGHTING', 'physical', '70', '100'], ['37', 'Endure', 'NORMAL', 'status', '-', '-'], ['40', 'Close Combat', 'FIGHTING', 'physical', '120', '100'], ['43', 'Reversal', 'FIGHTING', 'physical', '-', '100'], ['46', 'Heavy Slam', 'STEEL', 'physical', '-', '100']]"
#297,,Hariyama,fighting,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,"[['1', 'Arm Thrust', 'FIGHTING', 'physical', '15', '100'], ['1', 'Brine', 'WATER', 'special', '65', '100'], ['1', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['7', 'Arm Thrust', 'FIGHTING', 'physical', '15', '100'], ['10', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['13', 'Force Palm', 'FIGHTING', 'physical', '60', '100'], ['16', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['19', 'Knock Off', 'DARK', 'physical', '65', '100'], ['22', 'Vital Throw', 'FIGHTING', 'physical', '70', '?'], ['26', 'Belly Drum', 'NORMAL', 'status', '-', '-'], ['30', 'Smelling Salts', 'NORMAL', 'physical', '70', '100'], ['34', 'Seismic Toss', 'FIGHTING', 'physical', '-', '100'], ['38', 'Wake-Up Slap', 'FIGHTING', 'physical', '70', '100'], ['42', 'Endure', 'NORMAL', 'status', '-', '-'], ['46', 'Close Combat', 'FIGHTING', 'physical', '120', '100'], ['50', 'Reversal', 'FIGHTING', 'physical', '-', '100'], ['54', 'Heavy Slam', 'STEEL', 'physical', '-', '100']]"
#298,,Azurill,normal,fairy,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,"[['1', 'Splash', 'NORMAL', 'status', '-', '-'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['2', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['5', 'Water Sport', 'WATER', 'status', '-', '-'], ['7', 'Bubble', 'WATER', 'special', '40', '100'], ['10', 'Charm', 'FAIRY', 'status', '-', '100'], ['13', 'Bubble Beam', 'WATER', 'special', '65', '100'], ['16', 'Helping Hand', 'NORMAL', 'status', '-', '-'], ['20', 'Slam', 'NORMAL', 'physical', '80', '75'], ['23', 'Bounce', 'FLYING', 'physical', '85', '85']]"
#299,,Nosepass,rock,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Harden', 'NORMAL', 'status', '-', '-'], ['7', 'Block', 'NORMAL', 'status', '-', '-'], ['10', 'Rock Throw', 'ROCK', 'physical', '50', '90'], ['13', 'Thunder Wave', 'ELECTRIC', 'status', '-', '90'], ['16', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['19', 'Spark', 'ELECTRIC', 'physical', '65', '100'], ['22', 'Rock Slide', 'ROCK', 'physical', '75', '90'], ['25', 'Power Gem', 'ROCK', 'special', '80', '100'], ['28', 'Rock Blast', 'ROCK', 'physical', '25', '90'], ['31', 'Discharge', 'ELECTRIC', 'special', '80', '100'], ['34', 'Sandstorm', 'ROCK', 'status', '-', '-'], ['37', 'Earth Power', 'GROUND', 'special', '90', '100'], ['40', 'Stone Edge', 'ROCK', 'physical', '100', '80'], ['43', 'Lock-On', 'NORMAL', 'status', '-', '-'], ['43', 'Zap Cannon', 'ELECTRIC', 'special', '120', '50']]"
#300,,Skitty,normal,,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260,"[['1', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['4', 'Foresight', 'NORMAL', 'status', '-', '-'], ['7', 'Sing', 'NORMAL', 'status', '-', '55'], ['10', 'Attract', 'NORMAL', 'status', '-', '100'], ['13', 'Disarming Voice', 'FAIRY', 'special', '40', '?'], ['16', 'Double Slap', 'NORMAL', 'physical', '15', '85'], ['19', 'Copycat', 'NORMAL', 'status', '-', '-'], ['22', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['25', 'Charm', 'FAIRY', 'status', '-', '100'], ['28', 'Wake-Up Slap', 'FIGHTING', 'physical', '70', '100'], ['31', 'Assist', 'NORMAL', 'status', '-', '-'], ['34', 'Covet', 'NORMAL', 'physical', '60', '100'], ['37', 'Heal Bell', 'NORMAL', 'status', '-', '-'], ['40', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['43', 'Captivate', 'NORMAL', 'status', '-', '100'], ['46', 'Play Rough', 'FAIRY', 'physical', '90', '90']]"
#301,,Delcatty,normal,,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400,"[['1', 'Attract', 'NORMAL', 'status', '-', '100'], ['1', 'Double Slap', 'NORMAL', 'physical', '15', '85'], ['1', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['1', 'Sing', 'NORMAL', 'status', '-', '55']]"
#302,,Sableye,dark,ghost,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['4', 'Foresight', 'NORMAL', 'status', '-', '-'], ['6', 'Night Shade', 'GHOST', 'special', '-', '100'], ['9', 'Astonish', 'GHOST', 'physical', '30', '100'], ['11', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['14', 'Detect', 'FIGHTING', 'status', '-', '-'], ['16', 'Shadow Sneak', 'GHOST', 'physical', '40', '100'], ['19', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['21', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['24', 'Punishment', 'DARK', 'physical', '-', '100'], ['26', 'Knock Off', 'DARK', 'physical', '65', '100'], ['29', 'Shadow Claw', 'GHOST', 'physical', '70', '100'], ['31', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['34', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['36', 'Power Gem', 'ROCK', 'special', '80', '100'], ['39', 'Shadow Ball', 'GHOST', 'special', '80', '100'], ['41', 'Foul Play', 'DARK', 'physical', '95', '100'], ['44', 'Quash', 'DARK', 'status', '-', '100'], ['46', 'Mean Look', 'NORMAL', 'status', '-', '-']]"
